### Supplementary material for the paper "Confronting Color Glass Condensate at next-to-leading order with HERA data"
### Authors: C. Casuga, H. Mäntysaari
### 100 samples from the Bayesian posterior distribution 
### Parametrization: MV gamma initial condition
### Evolution equation: NLOBK evolution 
### Running coupling: Bal+SD
### Columns: BK file index, qs0^2 [GeV^2], gamma, log_10 C^2, sigma0/2 [mb], mc [GeV]
0, 0.089372, 4.329033, 3.118901, 22.901792, 1.204938
1, 0.087116, 4.431059, 3.122167, 23.926311, 1.192461
2, 0.088972, 4.404669, 2.920339, 22.114239, 1.161735
3, 0.089059, 4.414143, 2.885602, 21.955618, 1.233663
4, 0.091259, 4.285724, 2.916912, 21.521029, 1.142180
5, 0.089255, 4.313591, 2.896459, 21.637421, 1.182472
6, 0.089298, 4.375409, 3.118313, 22.631975, 1.177302
7, 0.088550, 4.385504, 2.879103, 21.752060, 1.153974
8, 0.089184, 4.358551, 3.066715, 22.700058, 1.156855
9, 0.086042, 4.445328, 2.740403, 21.690578, 1.172011
10, 0.088819, 4.396394, 2.845225, 21.327124, 1.084045
11, 0.089378, 4.341641, 3.149842, 23.010638, 1.182166
12, 0.086303, 4.442333, 2.885443, 22.558002, 1.168821
13, 0.087953, 4.371316, 2.842106, 22.347659, 1.230454
14, 0.084121, 4.510025, 2.746690, 22.532995, 1.200436
15, 0.084087, 4.558734, 2.996019, 23.290029, 1.236186
16, 0.089130, 4.354142, 2.964711, 22.361890, 1.152550
17, 0.088906, 4.374240, 2.968896, 22.269950, 1.214164
18, 0.087817, 4.430188, 3.015117, 23.095259, 1.200350
19, 0.089780, 4.326474, 3.054430, 22.498599, 1.140938
20, 0.088532, 4.410782, 3.083056, 23.178115, 1.170598
21, 0.087901, 4.397381, 2.941680, 22.578311, 1.146482
22, 0.088519, 4.405480, 3.015046, 22.724917, 1.166569
23, 0.088150, 4.389096, 2.907099, 22.185566, 1.149555
24, 0.088894, 4.372191, 2.973501, 22.142311, 1.197612
25, 0.089187, 4.393973, 3.030436, 22.504040, 1.138902
26, 0.086884, 4.404945, 2.776469, 21.840323, 1.163035
27, 0.085349, 4.481660, 2.720003, 21.639507, 1.182464
28, 0.088485, 4.382229, 2.951284, 22.094113, 1.139005
29, 0.089294, 4.333450, 2.965434, 21.852920, 1.180292
30, 0.088708, 4.363644, 2.961498, 22.552771, 1.188085
31, 0.081924, 4.988736, 2.944915, 23.573768, 1.172281
