### Supplementary material for the paper "Confronting Color Glass Condensate at next-to-leading order with HERA data"
### Authors: C. Casuga, H. Mäntysaari
### 100 samples from the Bayesian posterior distribution 
### Parametrization: MV gamma initial condition
### Evolution equation: NLOBK evolution 
### Running coupling: parent dipole
### Columns: BK file index, qs0^2 [GeV^2], gamma, log_10 C^2, sigma0/2 [mb], mc [GeV]
0, 0.093996, 2.401180, 3.893019, 24.708943, 1.186324
1, 0.091694, 2.321008, 3.986855, 25.523070, 1.218210
2, 0.110172, 3.998259, 3.953854, 23.153735, 1.210366
3, 0.092260, 2.372217, 3.970699, 25.171095, 1.189005
4, 0.102748, 3.009608, 3.895453, 24.271290, 1.194979
5, 0.094028, 2.515155, 3.875193, 24.728699, 1.218013
6, 0.098555, 2.627730, 3.866967, 24.198957, 1.191107
7, 0.098790, 2.616621, 3.857837, 23.930541, 1.179333
8, 0.103203, 3.140380, 3.831509, 24.092075, 1.253902
9, 0.090823, 2.258091, 3.952732, 24.984941, 1.173420
10, 0.103074, 2.756231, 3.892716, 23.367763, 1.159026
11, 0.104295, 2.942661, 3.930962, 23.672732, 1.199607
12, 0.111409, 3.965089, 3.859922, 23.018373, 1.216909
13, 0.096832, 2.413734, 3.863441, 23.858217, 1.177988
14, 0.104383, 2.865107, 3.848519, 23.366185, 1.196221
15, 0.086631, 2.225259, 4.037573, 26.574892, 1.196233
16, 0.101849, 2.735799, 3.875833, 23.748011, 1.193341
17, 0.089582, 2.284004, 3.911053, 25.784979, 1.211942
18, 0.101616, 3.018677, 3.850036, 24.468083, 1.206795
19, 0.084656, 2.189595, 3.962688, 26.341241, 1.205052
20, 0.088269, 2.291760, 4.021343, 26.030538, 1.211556
21, 0.094536, 2.398987, 3.835493, 24.187766, 1.201753
22, 0.093901, 2.507491, 3.805770, 24.885425, 1.220216
23, 0.093419, 2.278486, 3.978545, 24.685684, 1.177490
24, 0.104898, 2.707757, 3.765951, 22.329949, 1.169424
25, 0.099220, 2.543156, 3.802160, 23.147666, 1.195727
26, 0.100887, 2.790798, 3.868668, 24.068049, 1.196276
27, 0.102318, 2.552914, 3.845623, 22.969016, 1.221035
28, 0.088732, 2.246354, 3.822400, 25.182513, 1.216409
29, 0.093962, 2.459194, 3.865841, 24.683118, 1.187547
30, 0.099854, 2.935798, 3.946939, 24.543413, 1.224645
31, 0.093300, 2.280905, 3.847963, 24.578445, 1.195188
32, 0.096907, 2.430629, 3.918420, 24.235638, 1.201468
33, 0.088178, 2.190199, 4.012002, 25.940020, 1.206554
34, 0.089949, 2.375823, 4.092739, 26.527853, 1.196817
35, 0.088369, 2.295332, 4.079388, 26.615628, 1.221499
36, 0.088954, 2.294760, 3.901450, 25.834911, 1.170926
37, 0.096501, 2.456924, 3.894594, 24.117296, 1.182962
38, 0.108195, 2.941953, 3.917185, 22.595392, 1.192835
39, 0.104023, 2.776388, 3.824060, 23.237015, 1.199520
40, 0.090868, 2.282718, 3.978776, 25.065361, 1.156373
41, 0.104075, 2.800175, 3.971923, 24.041951, 1.213062
42, 0.086187, 2.217174, 4.153995, 27.041326, 1.233432
43, 0.115130, 3.998621, 3.698622, 21.391767, 1.250179
44, 0.105695, 3.173821, 3.755123, 23.157764, 1.192140
45, 0.097681, 2.525943, 3.862861, 23.952929, 1.223133
46, 0.103581, 2.753402, 3.774292, 23.056581, 1.206618
47, 0.088551, 2.242718, 3.833262, 25.065092, 1.191971
48, 0.098945, 2.496420, 3.896958, 23.369949, 1.195467
49, 0.091306, 2.376227, 4.036063, 25.881306, 1.213540
50, 0.099264, 2.764029, 3.937840, 24.853717, 1.223040
51, 0.103479, 2.939255, 3.848097, 23.591798, 1.241288
52, 0.094967, 2.363592, 3.777995, 23.588741, 1.203079
53, 0.112058, 3.824115, 3.670607, 21.910320, 1.227508
54, 0.091521, 2.336551, 4.008578, 25.530607, 1.207822
55, 0.101637, 2.557359, 3.887993, 23.310819, 1.158785
56, 0.087932, 2.337649, 3.911251, 26.019783, 1.192142
57, 0.108013, 3.924256, 3.731869, 23.019479, 1.305578
58, 0.112271, 3.907782, 3.728947, 22.163357, 1.202374
59, 0.103997, 2.846140, 3.844935, 23.167268, 1.218412
60, 0.092371, 2.238314, 3.946201, 24.571568, 1.199259
61, 0.078983, 2.040997, 4.129295, 28.091953, 1.211664
62, 0.108676, 3.069077, 3.725735, 22.229063, 1.208152
63, 0.105958, 2.957357, 3.833422, 23.157386, 1.194945
64, 0.105245, 2.924042, 3.787290, 23.070775, 1.201359
65, 0.090711, 2.302421, 3.876386, 25.091254, 1.189811
66, 0.096154, 2.449334, 3.786782, 23.960973, 1.194054
67, 0.085507, 2.210572, 3.985377, 26.037800, 1.202774
68, 0.106245, 3.857354, 3.748466, 23.472115, 1.265741
69, 0.100480, 2.799269, 3.750200, 23.675415, 1.223089
70, 0.086107, 2.176230, 3.839881, 25.632558, 1.205256
71, 0.092964, 2.332878, 4.077636, 25.262752, 1.172424
72, 0.091537, 2.479445, 4.031190, 26.143590, 1.198422
73, 0.088503, 2.241523, 3.831765, 25.064917, 1.191470
74, 0.103977, 2.824177, 3.638000, 22.598603, 1.204430
75, 0.075408, 1.906935, 4.091765, 27.635382, 1.132673
76, 0.106727, 2.936923, 3.794821, 22.627161, 1.184551
77, 0.095362, 2.479301, 3.997441, 25.086086, 1.208183
78, 0.087768, 2.215385, 3.966052, 25.840910, 1.238579
79, 0.101165, 2.913320, 3.710726, 23.653901, 1.282757
80, 0.093009, 2.303535, 3.967419, 25.170305, 1.210046
81, 0.103575, 2.927049, 3.860359, 23.436035, 1.197893
82, 0.085111, 2.257418, 4.028733, 27.137114, 1.236945
83, 0.087617, 2.173418, 3.973165, 25.688582, 1.202464
84, 0.114106, 3.850333, 3.595889, 20.947873, 1.189874
85, 0.098603, 2.463664, 3.936032, 23.717002, 1.179846
86, 0.091955, 2.483685, 3.964554, 25.719975, 1.187462
87, 0.105851, 2.883768, 3.755431, 22.393622, 1.225238
88, 0.093078, 2.332398, 3.951754, 24.912898, 1.199852
89, 0.115241, 3.884747, 3.599070, 21.424079, 1.250689
90, 0.102117, 2.931136, 3.887222, 24.257449, 1.222027
91, 0.107530, 3.084255, 3.862731, 23.116625, 1.229984
92, 0.096562, 2.485899, 3.993994, 24.593919, 1.209990
93, 0.106108, 2.728506, 3.884213, 22.775221, 1.185325
94, 0.103593, 2.966103, 3.694337, 22.925073, 1.171451
95, 0.096859, 2.493358, 3.942724, 24.448029, 1.209390
96, 0.097849, 2.498869, 3.967937, 24.300833, 1.157818
97, 0.108787, 3.953041, 3.748578, 22.737344, 1.222474
98, 0.092799, 2.321761, 3.858518, 24.040827, 1.185915
99, 0.108989, 3.997409, 3.724498, 22.872049, 1.232396
